"Date","Price","Open","High","Low","Vol.","Change %"
"09/17/2019","71.490","71.827","71.989","71.366","","-0.13%"
"09/18/2019","71.145","71.515","71.530","71.145","","-0.48%"
"09/19/2019","71.375","71.345","71.385","71.050","","0.32%"
"09/20/2019","71.075","71.205","71.205","70.685","","-0.42%"
"09/23/2019","70.799","71.023","71.053","70.779","","-0.39%"
"09/24/2019","70.971","70.796","71.066","70.736","","0.24%"
"09/25/2019","70.988","70.976","71.154","70.947","","0.02%"
"09/26/2019","70.964","71.035","71.036","70.837","","-0.03%"
"09/27/2019","70.509","70.951","70.980","70.364","","-0.64%"
"09/30/2019","70.645","70.425","70.885","70.358","","0.19%"
"10/01/2019","71.110","70.655","71.170","70.655","","0.66%"
"10/02/2019","71.150","71.117","71.368","71.100","","0.06%"
"10/03/2019","71.030","71.210","71.370","70.865","","-0.17%"
"10/04/2019","70.825","70.810","71.040","70.765","","-0.29%"
"10/07/2019","70.975","70.959","71.105","70.913","","0.21%"
"10/08/2019","71.220","70.996","71.233","70.933","","0.35%"
"10/09/2019","71.120","71.180","71.230","70.945","","-0.14%"
"10/10/2019","70.990","70.960","71.165","70.960","","-0.18%"
"10/11/2019","70.924","70.816","71.091","70.799","","-0.09%"
"10/14/2019","71.237","70.893","71.250","70.740","","0.44%"
"10/15/2019","71.500","71.248","71.605","71.220","","0.37%"
"10/16/2019","71.364","71.562","71.732","71.348","","-0.19%"
"10/17/2019","71.130","71.362","71.475","71.096","","-0.33%"
"10/18/2019","71.090","71.200","71.320","71.040","","-0.06%"
"10/21/2019","70.925","71.075","71.075","70.778","","-0.23%"
"10/22/2019","70.810","70.911","71.006","70.810","","-0.16%"
"10/23/2019","70.725","71.005","71.033","70.725","","-0.12%"
"10/24/2019","70.965","70.715","71.085","70.715","","0.34%"
"10/25/2019","70.820","71.045","71.073","70.782","","-0.20%"
"10/28/2019","70.745","70.822","70.842","70.684","","-0.11%"
"10/29/2019","70.890","70.750","70.920","70.690","","0.20%"
"10/30/2019","70.952","70.871","71.026","70.839","","0.09%"
"10/31/2019","70.980","70.762","71.065","70.724","","0.04%"
"11/01/2019","70.760","70.972","70.989","70.760","","-0.31%"
"11/04/2019","70.789","70.552","70.802","70.552","","0.04%"
"11/05/2019","70.775","70.804","70.855","70.625","","-0.02%"
